"*Standardized to OTU and fixed count, see Metadata for details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleID,Station (NAMC),Station (Customer),Waterbody,County,State,Latitude,Longitude,Collection Date,Habitat Sampled ,Collection Method,Field Notes,Lab Notes,Area sampled (m^2),Field Split,Lab Split,Split Count,Fixed Count,Big Rare Count,Richness*,Abundance,Shannon's Diversity*,Simpson's Diversity*,Evenness*,# of EPT Taxa*,EPT Taxa Abundance,Dominant Family,Abundance of Dominant Family,Dominant Taxa,Abundance of Dominant Taxa,Hilsenhoff Biotic Index*,# of Intolerant Taxa*,Intolerant Taxa abundance,# of Tolerant Taxa*,Tolerant Taxa abundance,USFS Community Tolerance Quotient (d)*,# of shredder taxa*,Shredder Abundance,# of scraper taxa*,Scraper abundance,# of collector-filterer taxa*,Collector-filterer abundance,# of collector-gatherer taxa*,Collector-gatherer abundance,# of predator taxa*,Predator abundance,# of clinger taxa*,Long-lived Taxa*,# of Ephemeroptera taxa*,Ephemeroptera abundance,# of Plecoptera taxa*,Plecoptera abundance,# of Trichoptera taxa*,Trichoptera abundance,# of Coleoptera taxa*,Coleoptera abundance,# of Elmidae Taxa*,Elmidae abundance,# of Megaloptera taxa*,Megaloptera abundance,# of Diptera taxa*,Diptera abundance,# of Chironomidae taxa*,Chironomidae abundance,# of Crustacea taxa*,Crustacea abundance,# of Oligochaete taxa*,Oligochaete abundance,# of Mollusca taxa*,Mollusca abundance,# of Insect taxa*,Insect abundance,# of Non-insect taxa*,Non-insect abundance
168487,CAASH-1005,2018CAASH1002,CAASH-1005,Siskiyou,CA,41.400387,-122.096,7/15/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,551,300,0,18,745,1.190313348,0.480401338,0.411820156,10,581,Baetidae,532,Baetis,532,4.25,7,36,0,0,75,2,16,2,20,2,4,5,678,4,24,5,0,4,553,4,15,2,14,1,3,0,0,0,0,5,157,3,143,0,0,0,0,1,1,16,741,2,4
168488,CAASH-1016,2018CAASH1005,CAASH-1016,Siskiyou,CA,41.3909,-122.0708,7/16/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,306,300,0,15,414,0.787616494,0.291170569,0.290842649,8,365,Baetidae,342,Baetis,342,3.753333333,6,14,0,0,68,2,4,1,3,0,0,5,386,5,9,6,0,3,350,3,9,2,5,1,1,0,0,0,0,5,26,3,18,0,0,0,22,0,0,14,392,1,22
168489,CAASH-1016,2018CAASH1014,CAASH-1016,Siskiyou,CA,41.3909,-122.0708,7/12/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,235,227,0,20,318,1.8170732,0.710498616,0.606553935,13,230,Baetidae,155,Baetis,155,4.004405286,8,54,0,0,55,2,28,2,9,1,1,6,236,6,24,11,0,6,180,4,41,3,9,1,3,0,0,0,0,6,85,3,66,0,0,0,0,0,0,20,318,0,0
168490,CAASH-1022,2018CAASH1016,CAASH-1022,Siskiyou,CA,41.4019,-122.088,7/13/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,37.5,821,300,12,21,2975,1.867982491,0.743768116,0.613555173,12,1640,Baetidae,1230,Baetis,1230,3.556666667,6,233,0,0,73,2,159,4,99,1,62,5,2487,5,122,7,0,5,1374,4,169,3,97,0,0,0,0,0,0,6,794,3,664,0,0,0,429,0,0,18,2434,2,541
168491,CAASH-1002,2018CAASH1022,CAASH-1002,Siskiyou,CA,41.39426686,-122.093867,7/14/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,560,300,0,15,757,0.961743482,0.378573021,0.355142413,8,678,Baetidae,601,Baetis,601,3.95,5,61,0,0,64,1,43,2,11,1,5,5,674,5,23,7,0,4,627,2,41,2,11,0,4,0,0,0,0,6,72,3,58,0,0,0,0,0,0,14,754,1,3
168492,CAJAK-1003,2018CAJAK1003,CAJAK-1003,Klamath,CA,41.66689,-123.566,7/15/2018,Targeted Riffle,Kick net,"Updated County from ""Klamath"" to ""Siskiyou""",NULL,0.74,100,100,320,265,0,20,432,2.146654565,0.821583762,0.716570898,14,296,Chloroperlidae,120,Chloroperlinae,76,2.226415094,11,189,0,0,59,4,49,1,47,0,0,4,134,7,124,6,1,3,96,8,178,3,22,0,4,0,0,0,0,5,104,3,95,0,0,0,0,0,0,19,404,1,28
168493,2018CAJAK1033,2018CAJAK1033,CAJAK-1033,Siskiyou,CA,41.668184,-123.564515,7/15/2018,Targeted Riffle,Kick net,"Updated County from ""Klamath"" to ""Siskiyou""",NULL,0.74,100,100,181,154,0,18,245,1.827157833,0.722773958,0.632153227,7,154,Chloroperlidae,103,Chloroperlinae,53,1.694805195,6,99,0,0,75,2,7,0,12,0,0,4,84,9,86,4,4,1,39,3,108,3,7,3,12,1,1,1,3,5,42,3,39,0,0,0,22,0,0,16,214,2,31
168494,CAJAK-1035,2018CAJAK1035,CAJAK-1035,Klamath,CA,41.68888,-123.609,7/13/2018,Targeted Riffle,Kick net,"Updated County from ""Klamath"" to ""Siskiyou""",NULL,0.74,100,100,129,110,0,23,174,2.517251707,0.886738949,0.802824542,15,147,Nemouridae,43,Zapada oregonensis group,24,2.763636364,8,95,0,0,53,3,39,2,22,2,7,5,43,5,45,6,3,6,51,6,89,3,7,1,1,1,1,0,0,5,23,3,18,0,0,0,0,0,0,22,173,1,1
168495,CAJAK-1049,2018CAJAK1049,CAJAK-1049,Klamath,CA,41.67935,-123.589,7/13/2018,Targeted Riffle,Kick net,"Updated County from ""Klamath"" to ""Siskiyou""",NULL,0.74,100,56.25,721,300,19,35,1758,2.679676907,0.870746934,0.753703115,23,680,Chironomidae,553,Orthocladiinae,416,3.49,15,424,0,0,58,5,106,5,165,3,140,7,837,9,204,14,6,7,264,8,160,8,256,2,267,2,111,0,2,7,625,2,553,0,0,0,114,1,10,32,1574,3,184
168496,CAJAK-1058,2018CAJAK1058,CAJAK-1058,Klamath,CA,41.67414,-123.581,7/12/2018,Targeted Riffle,Kick net,"Updated County from ""Klamath"" to ""Siskiyou""",NULL,0.74,100,100,370,300,0,34,500,2.493018053,0.854671126,0.7069663,19,232,Chironomidae,200,Tanypodinae,119,4.256666667,12,62,0,0,64,4,23,5,22,2,14,7,241,9,189,13,6,6,168,6,31,7,34,4,28,3,7,0,0,10,227,4,200,0,0,0,0,0,0,33,496,1,4
