"Request","model","Lat","Long","boxid","sampleid","reachid","station","location","SampleDate","UID","SiteCode","MasterCode","state","rolled","SiteID2","NEAR_FID","NEAR_DIST","NEAR_X","NEAR_Y","POINT_X","POINT_Y","DOY","ELEV_SITE","NHDSLOPE","ECO3","ECO4","TMAXPT","TMAX_AVE","TMEAN_AVE","TMIN_AVE","RH_AVE","TMEANPT","MEANP_AVE","MAXP_AVE","MAXWD_AVE","FST32F_AVE","EVI_MAX_AVE","ELEV_MIN","ELEV_MEAN","DD_LAT_Y","SQ_KM","TMAX_PT","LOG_LT_PPT_PT","Sq_km","LOG_KM2","ELVmean_WS","ELVmin_WS","KFCT_WS","PMIN_WS","RH_WS","TMAX_WS","TMEAN_PT","TMEAN_WS","PMIN_PT","WSA_SQKM","ELVmax_WS","precip","temp","east","elev_sqrt","ELEV_WS","Lat_Dec","LOG_XP_PT","Long_Dec","PRCPSHORTWS","SQRT_TOPO","SUMMER","WINTER","ClimateE","MetricE","GRIDCODE","ShedAreakm","AreaHect","SprgNum_WS","MINEnum_WS","DAMnum_WS","DAMvol_WS","StreamDens","BLMPct","PrivPct","HydrAlt_km","RdDens","Urban_WS","AG_WS","Psum_PT","Psum_WS","AreaKM","daynum","FID","qc_site","EVI_MAX_AV","OBJECTID","Long_","sampdate","SlopeE","PRCPSHORTW","Priority_s","Bug_model","WQ_model","OLD_UID","Existing_w","Project","Rolled"
1,"UTDEQ15",38.3846016,-109.1719971,1847,157955,"BVR_CRK","BVR_CRK","Beaver Creek","10/27/2016",NA,NA,NA,"UT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,259.75,63.8330002,-103.6660004,52,76,613.9160156,74.5550003,8,265.5,5192.229981,2400.100098,2750.580078,38.3846016,10.9692001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"UTDEQ15",38.3636017,-109.2160034,1847,157956,"DEER_CRK","DEER_CRK","Deer Creek","10/27/2016",NA,NA,NA,"UT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,270,72,-97,52.5,75,484,64,7,269,4670.330078,2484.800049,2627.439941,38.3636017,1.1467201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"UTDEQ15",38.3848,-109.2089996,1847,157957,"LASAL_CRK","LASALCK-2","LaSal Creek, Site 2","10/27/2016",NA,NA,NA,"UT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,229.0549927,44.3880005,-111.7220001,52.0950012,73,794.0549927,91.8880005,8,266.6659851,5002.160156,2524.800049,3040.620117,38.3848,15.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"UTDEQ15",38.3553009,-109.1200027,1847,157958,"2MILE_CRK","2MILE_CRK","2 Mile Creek","10/27/2016",NA,NA,NA,"UT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,267.1659851,68.0830002,-105.9160004,52,85,599.6110229,72.5169983,7.3330002,268.1659851,4717.669922,2154.399902,2600.949951,38.3553009,28.5489006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"CO_MMI",39.9497986,-106.5579987,1877,164284,"Radium","RADIUM01","Colorado River","10/16/2016",NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,0,2091,0.00107,21,"21d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"CO_MMI",39.8577003,-106.6470032,1877,164285,"State Bridge","STATEBRIDGE01","Colorado River","10/16/2016",NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,0,2054,0.00354,21,"21d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"CO_MMI",39.9123993,-106.7850037,1877,164286,"ABV Catamount","ABVCATAMOUNT01","Colorado River","10/16/2016",NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,0,2002,0,21,"21d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"CO_MMI",39.7098999,-107.0469971,1877,164287,"BLW Red Dirt","BLWREDDIRT01","Colorado River","10/16/2016",NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,0,1915,0.00178,21,"21d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"CO_MMI",39.9846992,-106.5139999,1919,164310,"COR-Pumphouse","COR-Pump","COR-Pumphouse","1/0/1900",NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,0,2118,0.00233,21,"21d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.691002,-105.505997,1852,164739,"FR-TR-001","FR-TR-001","Currant Creek","8/3/2016","928A9596-345E-4AF4-8178-3128A867299D",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,216,2428,0.018,21,"21c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.366901,-106.057999,1852,164740,"FR-TR-002","FR-TR-002","Alder Creek","6/23/2016","AD2C55EE-8A0D-42AA-9FEF-D9AE3ECFAEFA",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,174,2693,0.088,21,"21h",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
