UID,SAMPLEID,STATION,MODEL,O,E,OE,MMI,AIM_rtg,MODELTEST,COUNT,INVASIVE_MACRO
11628,150799,AR-LS-8014,NV_MMI,,,,42.20842871,Impaired,Pass,217,ABSENT
11625,150800,AR-LS-8003,NV_MMI,,,,29.10166661,Impaired,Fail,300,ABSENT
11779,150801,AR-SS-8022,NV_MMI,,,,26.15544257,Impaired,Pass,300,ABSENT
11629,150802,AR-LS-8018,NV_MMI,,,,54.49175856,Reference,Pass,300,ABSENT
11676,150803,AR-LS-8036,NV_MMI,,,,49.20026003,Reference,Fail,300,ABSENT
11775,150804,AR-SS-8008,NV_MMI,,,,56.10307625,Reference,Pass,300,ABSENT
11677,150805,AR-LS-8029,NV_MMI,,,,47.43318868,Reference,Pass,300,ABSENT
11780,150806,AR-SS-8030,NV_MMI,,,,29.45095938,Impaired,Pass,262,ABSENT
11627,150807,AR-LS-8013,NV_MMI,,,,46.80688324,Undetermined,Pass,300,ABSENT
12366,150808,AR-SS-8006,NV_MMI,,,,17.96690754,Impaired,Pass,158,ABSENT
11777,150809,AR-SS-8017,NV_MMI,,,,37.64022886,Impaired,Fail,300,ABSENT
11776,150810,AR-SS-8010,NV_MMI,,,,52.27187642,Reference,Pass,300,ABSENT
11675,150811,AR-LS-8038,NV_MMI,,,,16.41473451,Impaired,Pass,300,ABSENT
11778,150812,AR-SS-8019,NV_MMI,,,,51.19893556,Reference,Pass,300,ABSENT
11626,150813,AR-LS-8007,NV_MMI,,,,52.11684817,Reference,Fail,300,ABSENT
11630,150814,AR-LS-8026,NV_MMI,,,,59.08437296,Reference,Pass,300,ABSENT
12368,150815,SU-SS-8344,NV_MMI,,,,45.18807425,Undetermined,Pass,300,ABSENT
12369,150816,SU-LS-8336,NV_MMI,,,,22.61059355,Impaired,Pass,14,ABSENT
12472,150817,SU-LS-8332,NV_MMI,,,,45.28490836,Undetermined,Pass,300,ABSENT
12362,150818,SU-LS-8325,NV_MMI,,,,44.32117306,Impaired,Pass,300,ABSENT
12364,150819,SU-LS-8323,NV_MMI,,,,36.82777359,Impaired,Pass,300,ABSENT
12476,150820,SU-SS-8322,NV_MMI,,,,34.83972451,Impaired,Fail,300,ABSENT
12475,150821,SU-RO-8314,NV_MMI,,,,39.8555612,Impaired,Pass,300,ABSENT
12474,150822,SU-LS-8313,NV_MMI,,,,43.24052581,Impaired,Pass,300,ABSENT
12473,150823,HC-SS-8486,NV_MMI,,,,45.11888787,Undetermined,Pass,300,ABSENT
12452,150824,HC-SS-8480,NV_MMI,,,,30.70309147,Impaired,Pass,300,ABSENT
12470,150825,HC-SS-8475,NV_MMI,,,,34.67536504,Impaired,Pass,300,ABSENT
11783,150826,HC-SS-8465,NV_MMI,,,,29.09044954,Impaired,Pass,300,ABSENT
12471,150827,HC-SS-8456,NV_MMI,,,,27.12254692,Impaired,Pass,300,ABSENT
11782,150828,HC-SS-8454,NV_MMI,,,,29.93430875,Impaired,Pass,300,ABSENT
11781,150829,HC-SS-8452,NV_MMI,,,,25.30428336,Impaired,Pass,300,ABSENT
11800,150830,SU-LS-8320,NV_MMI,,,,50.63878629,Reference,Pass,300,ABSENT
11802,150831,SU-SS-8318,NV_MMI,,,,34.6023242,Impaired,Pass,300,ABSENT
11801,150832,SU-LS-8340,NV_MMI,,,,55.07944982,Reference,Pass,300,ABSENT
11799,150833,RS-SS-0001,NV_MMI,,,,19.38488641,Impaired,Fail,300,ABSENT
12479,150834,TP-RO-8230,NV_MMI,,,,30.77038343,Impaired,Pass,274,ABSENT
12478,150835,TP-RO-8216,NV_MMI,,,,56.14310749,Reference,Pass,300,ABSENT
12427,150836,EL-SS-8135,NV_MMI,,,,55.3266595,Reference,Pass,300,ABSENT
12454,150837,EL-SS-8123,NV_MMI,,,,62.32019067,Reference,Fail,300,ABSENT
12363,150838,TP-LS-8228,NV_MMI,,,,52.63104009,Reference,Pass,300,ABSENT
12426,150839,EL-LS-8131,NV_MMI,,,,65.4835713,Reference,Pass,300,ABSENT
12453,150840,EL-SS-8124,NV_MMI,,,,20.95917593,Impaired,Fail,300,ABSENT
12423,150841,TP-SS-8225,NV_MMI,,,,42.26925301,Impaired,Pass,300,ABSENT
12421,150842,EL-SS-8127,NV_MMI,,,,48.32541584,Reference,Pass,300,ABSENT
12424,150843,TP-SS-8212,NV_MMI,,,,43.06461242,Impaired,Pass,300,ABSENT
12425,150844,EL-LS-8134,NV_MMI,,,,55.65165537,Reference,Fail,300,ABSENT
12420,150845,EL-LS-8139,NV_MMI,,,,42.19985149,Impaired,Fail,300,ABSENT
