Model,Script,Variable,Variable Description,Function Computed for Cells,What do cells represent?,Cell size,Years of data,Units,Transformation?,Data Path,Data Source,Exception for small sheds,Calculation,Notes,Script Consolidated?,Coverage Level
EC12,Atmosphere,AtmCa,atmospheric calcium at the point,Raster value at the point,?,2500x2500,,,none,GIS_Stats/Atmos/Data/atm_ca,,,,,,
EC12,Atmosphere,AtmSO4,atmospheric SO4 at the point,Raster value at the point,?,2500x2500,,,none,GIS_Stats/Atmos/Data/atm_so4,,,,,,
EC12,Atmosphere,AtmMg,atmospheric Mg at the point,Raster value at the point,?,2500x2500,,,none,GIS_Stats/Atmos/Data/atm_mg,,,,,,
EC12,Climate,LST32AVE,Average last freeze day at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean of last freeze day,2000x2000,1961-1990,,none,GIS_Stats/Climate/Data/lstfrz_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
EC12,Climate,MINWD_WS,Wet Days min at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean of minumum number of wet days,2000x2000,1961-1990,# of days,none,GIS_Stats/Climate/Data/Wdmin_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
EC12,Climate,MEANP_WS,Mean precip at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean of annual precipitation,,1971–2000,mm /yr,none,GIS_Stats/Climate/Data/meanp_usgs,,,,,,
EC12,Climate,XWD_WS,Mean number of wet days at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean number of days with measurable precip,2278x2278,1961-1990,# of days,none,GIS_Stats/Climate/Data/xwd_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
EC12,Climate,SumAve_P,Summer average precip at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean of mean June-September precipication,,1971-2000,mm /m,none,GIS_Stats/Climate/Data/sumave_p2.tif,,,,,,
EC12,Climate,MAXWD_WS,Mean of max number of wet days at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean of maximum number of wet days,2000x2000,1961-1990,# of days,none,GIS_Stats/Climate/Data/Wdmax_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
EC12,Climate,MINP_WS,Average of minimum precip at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean minimum precip,900x900,1971-2000,m/10000,none,GIS_Stats/Climate/Data/pmin_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
EC12,Climate,TMAX_WS,Average of max temperature at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean maximum temperature,900x900,1971-2000,deg C,none,GIS_Stats/Climate/Data/tmax_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
EC12,Geology,LPREM_mean,Mean of hydraulic condition in the watershed,Zonal Statistics (mean) of raster cells in the watershed,,,,???,none,GIS_Stats/Geology/Data/lperm_2feb10,,Raster value at the centroid point,,,,
EC12,Landcover,EVI_MaxAve,Mean of Evi_max in the watershed,Zonal Statistics (mean) of raster cells in the watershed,,,,,none,GIS_Stats/Vegetation/Data/evi_max_10B.tif,,Raster value at the centroid point,,,,
EC12,Metrics,PRMH_AVE,Permeability across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Average permeability of underlying bedrock,489x489,,,none,GIS_Stats/Soils/Data/prmh_usgs,NRCS (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/),Raster value at the centroid point,,,,
EC12,Metrics,CaO_Mean,Calcium Oxide average across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Cells with underlying bedrock composed of CaO,90x90,,,none,GIS_Stats/Geology/Data/cao_19jan10,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
EC12,Metrics,MgO_Mean,Magnesium Oxide average across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Cells with underlying bedrock composed of MgO,90x90,,,none,GIS_Stats/Geology/Data/Mao_19jan10,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
EC12,Metrics,S_Mean,Average of Total Sulfur across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Cells with underlying bedrock composed of S,90x90,,,none,GIS_Stats/Geology/Data/s_19jan10,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
EC12,Metrics,UCS_Mean,Uniaxial compressive strength across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Uniaxial compresive strench of underlying bedrock,90x90,,,none,GIS_Stats/Geology/Data/ucs_19jan10,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
EC12,Metrics,BDH_AVE,Soil bulk density across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Soil Bulk Density,489x489,,g/cm^3,none,GIS_Stats/Soils/Data/bdh_usgs,NRCS (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/),Raster value at the centroid point,,,,
EC12,Metrics,KFCT_AVE,Soil Erodibility across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Soil Erodibility (no units),489x489,,,none,GIS_StatsSoils/Data/kfact_usgs,NRCS (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/),Raster value at the centroid point,,,,
TNTP12,Atmosphere,AtmCa,atmospheric calcium at the point,Raster value at the point,?,2500x2500,,,none,GIS_Stats/Atmos/Data/atm_ca,,,,,,
TNTP12,Atmosphere,AtmSO4,atmospheric SO4 at the point,Raster value at the point,?,2500x2500,,,none,GIS_Stats/Atmos/Data/atm_so4,,,,,,
TNTP12,Atmosphere,AtmNa,atmospheric Na at the point,Raster value at the point,?,2500x2500,,,none,GIS_Stats/Atmos/Data/atm_na,,,,,,
TNTP12,Atmosphere,AtmNO3,atmospheric NO3 at the point,Raster value at the point,?,2500x2500,,,none,GIS_Stats/Atmos/Data/atm_no3,,,,,,
TNTP12,Climate,PT_Tmin,Minimum temperature at the point,Raster value at the point,30 year mean minimum temperature,900x900,1971-2000,deg C,none,GIS_Stats/Climate/Data/tmin_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
TNTP12,Climate,TMIN_WS,Minimum temperature at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean minimum temperature,900x900,1971-2000,deg C,none,GIS_Stats/Climate/Data/tmin_oldtntp,PRISM(http://www.prism.oregonstate.edu),Raster value at the centroid point,,,,
TNTP12,Climate,RH_WS,RH mean at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean relative humidity,2km,1961-1990,,none,GIS_Stats/Climate/Data/rhmean_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
TNTP12,Climate,XWD_WS,Mean number of wet days at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean number of days with measurable precip,2278x2278,1961-1990,# of days,none,GIS_Stats/Climate/Data/xwd_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
TNTP12,Climate,PPT_ACCUM,Mean of previous year's precip sum (May-April),Zonal Statistics (mean) of raster cells in the watershed,sum of previous year's precip,4000x4000,year previous to sampling,m/10000,none,GIS_Stats/Climate/Data/XXXX(year)/pptXXXX(year)_XX(month),PRISM(http://www.prism.oregonstate.edu),,,,,
TNTP12,Climate,PPT_2MoAvg,Mean of the previous month's precip and the current month's precip,Take the mean precip for the previous and current months (mean of raster cells in the watershed) and then average the two,monthly precip,4000x4000,current year,m/10000,none,hawklab\GIS_Data\Environment\Natural\Climate\AllRawData\Precip,PRISM(http://www.prism.oregonstate.edu),,,,,
TNTP12,Climate,DOY,Day of Year,Calculate the day of year based on the sample date,,,,,none,Sample date taken from database,sample date,,,,,
TNTP12,Ecoregion,Eco3_PT,Eco Region level 3 (number) of the point,Spatial join to get the ecoregion at the point,,,,,none,GIS_Stats/Ecoregion/Data/Eco_Level_III_US.shp,EPA (https://catalog.data.gov),,,,,
TNTP12,Ecoregion,ER13,Is the level 3 ecoregion number 23?  (Y or N),"Spatial join to get the ecoregion at the point, is the ecoregion number 23?",,,,Y or N,none,GIS_Stats/Ecoregion/Data/Eco_Level_III_US.shp,EPA (https://catalog.data.gov),,,,,
TNTP12,Geology,Vol_ave,Mean of volcanic raster in the watershed,Zonal Statistics (mean) of raster cells in the watershed,Is the geology volcanic (0 or 1),90x90,,,none,GIS_Stats/Geology/Data/vol,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
TNTP12,Landcover,alru_dom,Percent of Alru landcover in the watershed,"Get the sum of alru cells in the watershed, convert those cells to area and use to calculate percent of watershed covered by ag",Is the landcover alru (0 or 1),30x30,,%,none,GIS_Stats/Vegetation/Data/alru_dom,NLCD (http://www.mrlc.gov/nlcd11_data.php),,,,,
TNTP12,Landcover,Evergr_ave,Percent of Evergreen landcover in the watershed,"Get the sum of evergreen cells in the watershed, convert those cells to area and use to calculate percent of watershed covered by evergreen",Is the landcover evergreen (0 or 1),30x30,,%,none,GIS_Stats/Vegetation/Data/evergr,NLCD (http://www.mrlc.gov/nlcd11_data.php),,,,,
TNTP12,Landcover,EVI_AveAve,Mean of Evi_ave in the watershed,Zonal Statistics (mean) of raster cells in the watershed,Enhanced Vegation Index,463x463,,,none,GIS_Stats/Vegetation/Data/evi_ave,,Raster value at the centroid point,,,,
TNTP12,Metrics,CaO_Mean,Calcium Oxide average across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Cells with underlying bedrock composed of CaO,90x90,,,none,GIS_Stats/Geology/Data/cao_19jan10,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
TNTP12,Metrics,TP_Mean,Average of Total Phosphorus across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Cells with underlying bedrock composed of P,90x90,,,none,GIS_Stats/Geology/Data/p_19jan10,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
TNTP12,Metrics,AWC_soil,Soil Water Capacity across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Fraction of available water capacity,500x500,,,none,GIS_Stats/Soils/Data/awc,NRCS (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/),Raster value at the centroid point,,,,
TNTP12,Metrics,GW_P_Sp_Mx,Ground Water Index across the watershed,Zonal Statistics (mean) of raster cells in the watershed,,90x90,,,none,GIS_Stats/Hydro/Data/gw_p_sp,,Raster value at the centroid point,,,,
TNTP12,Metrics,SOC,Soil Organic Carbon across the watershed,Zonal Statistics (mean) of raster cells in the watershed,,1000x1000,,,none,GIS_Stats/Soils/Data/soc,,Raster value at the centroid point,,,,
TNTP12,Metrics,Pct_Alfi,Percent alfi soils in the watershed,Get a count of the alfi raster cells (1) and the non alfi cells (0) to calculate %,Is the soil alfi (0 or 1),500x500,,%,none,GIS_Stats/Soils/Data/alfi_nonulls,,Value = 0,,,,
TNTP12,Metrics,Wb_mx_area,Area of the largest waterbody in the watershed,Clip the waterbodies to the watershed and find the one with the largest area,,,,sq km,none,GIS_Stats_Metrics/Data/Wb.shp,NHD (http://nhd.usgs.gov/data.html),,,,,
TNTP12,Metrics,Kfact,Soil Erodibility across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Soil Erodibility (no units),489x489,,,none,GIS_StatsSoils/Data/kfact_usgs,NRCS (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/),Raster value at the centroid point,,,,
TNTP12,Metrics,Db3rdbar,Soil Bulk Density across the watershed,Zonal Statistics (mean) of raster cells in the watershed,,500x500,,,none,GIS_Stats/Soils/Data/db3rdbar,NRCS (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/),Raster value at the centroid point,,,,
TNTP12,Slope,slpavg,Mean slope of the watershed,,,,,,,,,,,,,
CSCI,Climate,SumAve_P,Summer average precip at the watershed,Zonal Statistics (mean) of raster cells in the watershed,,,,# of days,none,GIS_Stats/Climate/Data/sumave_p2.tif,,,,,,
CSCI,Geology,PCT_SEDIM,Percentage of watershed that is Sedimentary geology type (geology type number 5),"Calculate the area of each geology type in the watershed, divide each area by the watershed area and multiply by 100",shapefile,,,%,none,GIS_Stats/Geology/Data/N_America_Geol_usgsNumeric.shp,,,,,,
CSCI,Geology,LPREM_mean,Mean of hydraulic condition in the watershed,Zonal Statistics (mean) of raster cells in the watershed,,,,???,none,GIS_Stats/Geology/Data/lperm_2feb10,,Raster value at the centroid point,,,,
CSCI,Metrics,AREA_SQKM,Area of the watershed in sq km,Use ArcMap to calculate area,,,,sq km,#REF!,GIS watershed shapefile,,,,,,
CSCI,Metrics,PRMH_AVE,Permeability across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Average permeability of underlying bedrock,489x489,,,none,GIS_Stats/Soils/Data/prmh_usgs,NRCS (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/),Raster value at the centroid point,,,,
CSCI,Metrics,CaO_Mean,Calcium Oxide average across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Cells with underlying bedrock composed of CaO,90x90,,,none,GIS_Stats/Geology/Data/cao_19jan10,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
CSCI,Metrics,MgO_Mean,Magnesium Oxide average across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Cells with underlying bedrock composed of MgO,90x90,,,none,GIS_Stats/Geology/Data/Mao_19jan10,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
CSCI,Metrics,N_MEAN,Average of Total Nitrogen across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Cells with underlying bedrock composed of N,90x90,,,none,GIS_Stats/Geology/Data/n_19jan10,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
CSCI,Metrics,P_MEAN,Average of Total Phosphorus across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Cells with underlying bedrock composed of P,90x90,,,none,GIS_Stats/Geology/Data/p_19jan10,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
CSCI,Metrics,S_Mean,Average of Total Sulfur across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Cells with underlying bedrock composed of S,90x90,,,none,GIS_Stats/Geology/Data/s_19jan10,USGS (http://pubs.usgs.gov/atlas/geologic/),Raster value at the centroid point,,,,
CSCI,Metrics,New_Long,Longitude of the point,Use ArcMap to calculate longitude in DD,,,,Decimal Degrees,none,GIS point shapefile,,,,,,
CSCI,Metrics,New_Lat,Latitude of the point,Use ArcMap to calculate latitude in DD,,,,Decimal Degrees,none,GIS point shapefile,,,,,,
CSCI,Metrics,SITE_ELEV,Elevation of the point,Raster value at the point divided by 10,Elevation,,,m,none,HawkinsDrive/GIS_Data/DEMs,http://ned.usgs.gov/).,,,,,
CSCI,Metrics,ELVmax_WS,Maximum elevation in the watershed,Zonal Statistics (mean) of raster cells in the watershed divided by 10,Elevation,,,m,none,HawkinsDrive/GIS_Data/DEMs,http://ned.usgs.gov/).,,,,,
CSCI,Metrics,ELVmin_WS,Minimum elevation in the watershed,Zonal Statistics (mean) of raster cells in the watershed divided by 10,Elevation,,,m,none,HawkinsDrive/GIS_Data/DEMs,http://ned.usgs.gov/).,,,,,
CSCI,Metrics,ELEV_RANGE,Range between max and min elevations,(ELVmax_WS - ELVmin_WS),Elevation,,,m,none,HawkinsDrive/GIS_Data/DEMs,http://ned.usgs.gov/).,,,,,
CSCI,Metrics,TEMP_00_09,Temperature at the point,Raster value at the point,,3500x3500,,,none,GIS_Stats/Metrics/California/Data/temp00_09.tif,,,,,,
CSCI,Metrics,PPT_00_09,Precip at the point,Raster value at the point,,3500x3500,,,none,GIS_Stats/Metrics/California/Data/ppt_00_09.tif,,,,,,
CSCI,Metrics,BDH_AVE,Soil bulk density across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Soil Bulk Density,489x489,,,none,GIS_Stats/Soils/Data/bdh_usgs,NRCS (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/),Raster value at the centroid point,,,,
CSCI,Metrics,KFCT_AVE,Soil Erodibility across the watershed,Zonal Statistics (mean) of raster cells in the watershed,Soil Erodibility (no units),489x489,,,none,GIS_StatsSoils/Data/kfact_usgs,NRCS (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/),Raster value at the centroid point,,,,
StreamTemp12,Script,Variable,Variable Description,,,,,Units,Transformation?,,Source Data,Exception for small sheds,Calculation,,,
