scientific_name,model_abbreviation
Syncaris,AREMP
Tabanidae,AREMP
Taeniopterygidae,AREMP
Tanyderidae,AREMP
Tanypodinae,AREMP
Thaumaleidae,AREMP
Thermonectus,AREMP
Timpanoga_hecuba,AREMP
Tinodes,AREMP
Tipula,AREMP
Trepobates,AREMP
Triaenodes,AREMP
Trichoclinocera,AREMP
Tricoryhyphes,AREMP
Tricorythodes,AREMP
Tropisternus,AREMP
Turbellaria,AREMP
Ulomorpha,AREMP
Unionidae,AREMP
Uvarus,AREMP
Valvata,AREMP
Veliidae,AREMP
Visoka,AREMP
Wiedemannia,AREMP
Wormaldia,AREMP
Yoraperla,AREMP
Zaitzevia,AREMP
Zapada,AREMP
Ablabesmyia,CSCI
Aeshna,CSCI
Aeshnidae,CSCI
Agabus,CSCI
Agapetus,CSCI
Agathon,CSCI
Alotanypus,CSCI
Ameletus,CSCI
Amiocentrus aspilus,CSCI
Ampumixis dispar,CSCI
Anacaena,CSCI
Anagapetus,CSCI
Anchycteis velutina,CSCI
Antocha monticola,CSCI
Apatania,CSCI
Apedilum,CSCI
Aquarius,CSCI
Archilestes,CSCI
Arctopsyche,CSCI
Argia,CSCI
Arrenurus,CSCI
Atractides,CSCI
Atrichopogon,CSCI
Attenella,CSCI
Attenella soquele,CSCI
Baetidae,CSCI
Baetis,CSCI
Baetis adonis,CSCI
Baetis bicaudatus,CSCI
Baetis flavistriga,CSCI
Baetis tricaudatus,CSCI
Berosus,CSCI
Bezzia/ Palpomyia,CSCI
Blepharicera,CSCI
Blephariceridae,CSCI
Boreochlus,CSCI
Brachycentridae,CSCI
Brachycentrus occidentalis,CSCI
Brillia,CSCI
Brundiniella,CSCI
Caenis,CSCI
Caenis bajaensis,CSCI
Calineuria californica,CSCI
Callibaetis,CSCI
Caloparyphus,CSCI
Caloparyphus/ Euparyphus,CSCI
Capniidae,CSCI
Cardiocladius,CSCI
Caudatella,CSCI
Caudatella hystrix,CSCI
Centroptilum,CSCI
Ceratopogonidae,CSCI
Chelifera/ Metachela,CSCI
Cheumatopsyche,CSCI
Chironominae,CSCI
Chironomini,CSCI
Chloroperlidae,CSCI
Chrysops,CSCI
Cinygma,CSCI
Cinygmula,CSCI
Cleptelmis addenda,CSCI
Clinocera,CSCI
Cloeodes excogitatus,CSCI
Coenagrionidae,CSCI
Constempellina,CSCI
Cordulegaster dorsalis,CSCI
Corixidae,CSCI
Corydalidae,CSCI
Corynoneura,CSCI
Crangonyx,CSCI
Cricotopus,CSCI
Cricotopus bicinctus group,CSCI
Cricotopus nostocicola,CSCI
Cricotopus trifascia group,CSCI
Cryptochia,CSCI
Culicoides,CSCI
Cultus,CSCI
Cyclothyas,CSCI
Dasyhelea,CSCI
Demicryptochironomus,CSCI
Despaxia augusta,CSCI
Diamesa,CSCI
Dicosmoecus,CSCI
Dicranota,CSCI
Dicrotendipes,CSCI
Diphetor hageni,CSCI
Diplocladius,CSCI
Dixa,CSCI
Dolichopodidae,CSCI
Dolophilodes,CSCI
Dolophilodes/ Sisko,CSCI
Doroneuria baumanni,CSCI
Drunella,CSCI
Drunella coloradensis,CSCI
Drunella doddsii,CSCI
Drunella grandis,CSCI
Drunella spinifera,CSCI
Dytiscidae,CSCI
Ecclisomyia,CSCI
Ecdyonurus,CSCI
Ecdyonurus criddlei,CSCI
Elmidae,CSCI
Empididae,CSCI
Epeorus,CSCI
Ephemerella,CSCI
Ephemerella maculata,CSCI
Ephemerella tibialis,CSCI
Ephemerella velmae,CSCI
Ephemerellidae,CSCI
Ephydridae,CSCI
Eubrianax edwardsii,CSCI
Eukiefferiella,CSCI
Euparyphus,CSCI
Euryhapsis,CSCI
Eylais,CSCI
Fallceon,CSCI
Fallceon quilleri,CSCI
Ferrissia,CSCI
Forcipomyia,CSCI
Frisonia picticeps,CSCI
Gastropoda,CSCI
Gelastocoris oculatus,CSCI
Gerridae,CSCI
Glossosoma,CSCI
Glossosomatidae,CSCI
Glutops,CSCI
Gomphidae,CSCI
Graptocorixa,CSCI
Gumaga,CSCI
Gyraulus,CSCI
Gyrinus,CSCI
Heleniella,CSCI
Helichus,CSCI
Helicopsyche,CSCI
Helisoma,CSCI
Helochares normatus,CSCI
Helodon,CSCI
Heptageniidae,CSCI
Hesperoperla,CSCI
Hesperoperla hoguei,CSCI
Hesperoperla pacifica,CSCI
Hesperophylax,CSCI
Heterlimnius,CSCI
Heteroplectron californicum,CSCI
Heterotrissocladius,CSCI
Heterotrissocladius marcidus group.,CSCI
Hexatoma,CSCI
Hydraena,CSCI
Hydrobiidae,CSCI
Hydrophilidae,CSCI
Hydropsyche,CSCI
Hydropsychidae,CSCI
Hydroptila,CSCI
Hydroptilidae,CSCI
Hydryphantidae,CSCI
Hygrobates,CSCI
Hygrobatidae,CSCI
Ironodes,CSCI
Isoperla,CSCI
Isoperla denningi,CSCI
Isoperla mormona,CSCI
Juga,CSCI
Kathroperla,CSCI
Kogotus nonus,CSCI
Kogotus/Rickera,CSCI
Krenopelopia,CSCI
Krenosmittia,CSCI
Labrundinia,CSCI
Labrundinia/ Nilotanypus,CSCI
Laccobius,CSCI
Lara,CSCI
Larsia,CSCI
Lauterborniella,CSCI
Lebertia,CSCI
Lepidostoma,CSCI
Leptoceridae,CSCI
Leuctridae,CSCI
Limnephilidae,CSCI
Limnesia,CSCI
Limnochares,CSCI
Limnophila,CSCI
Limnophyes,CSCI
Limonia,CSCI
Lymnaea,CSCI
Macropelopia,CSCI
Macropelopiini,CSCI
Malenka,CSCI
Marilia flexuosa,CSCI
Maruina lanceolata,CSCI
Matriella teresa,CSCI
Meringodixa chalonensis,CSCI
Micrasema,CSCI
Microcylloepus,CSCI
Micropsectra,CSCI
Micropsectra/ Tanytarsus,CSCI
Microtendipes pedellus group,CSCI
Microtendipes rydalensis group,CSCI
Mideopsis,CSCI
Moselia infuscata,CSCI
Mystacides,CSCI
